P1 Action,P2 Action,P1 Type,P2 Type,Winner,P1 Net Dmg,P2 Net Dmg,Mom Shift,Note
Active Block,Active Block,DEF,DEF,SPEED_TIE,0,0,0,
Active Block,Adept Block,DEF,DEF,SPEED_TIE,0,0,0,
Active Block,Adept Dodge,DEF,DEF,P1,0,0,0,
Active Block,Adept Heavy,DEF,OFF,P2,0,1,0,
Active Block,Adept Light,DEF,OFF,P2,0,1,0,
Active Block,Adept Parry,DEF,DEF,P1,0,0,0,
Active Block,Adept Positioning,DEF,OFF,P2,0,0,0,
Active Block,Adept Reversal,DEF,DEF,P1,0,0,0,
Active Block,Adept Tech,DEF,OFF,P2,0,0,0,
Active Block,Adjust Stance,DEF,OFF,P2,0,0,0,
Active Block,Advancing Parry,DEF,DEF,P1,0,0,0,
Active Block,Basic Block,DEF,DEF,SPEED_TIE,0,0,0,
Active Block,Basic Dodge,DEF,DEF,P1,0,0,0,
Active Block,Basic Heavy,DEF,OFF,P2,0,2,0,
Active Block,Basic Light,DEF,OFF,P2,0,0,0,
Active Block,Basic Parry,DEF,DEF,SPEED_TIE,0,0,0,
Active Block,Basic Positioning,DEF,OFF,P2,0,0,0,
Active Block,Basic Reversal,DEF,DEF,SPEED_TIE,0,0,0,
Active Block,Basic Technical,DEF,OFF,P2,0,0,0,
Active Block,Breakout,DEF,DEF,P1,0,0,0,
Active Block,Catch,DEF,DEF,P1,0,0,0,
Active Block,Counter Strike,DEF,DEF,P1,0,0,0,
Active Block,Crushing Block,DEF,DEF,P1,0,0,0,
Active Block,Discombobulate,DEF,OFF,P2,0,0,0,
Active Block,Draining Defence,DEF,DEF,SPEED_TIE,0,0,0,
Active Block,Drop Kick,DEF,OFF,P2,0,3,0,
Active Block,Drop Prone,DEF,DEF,P1,0,0,0,
Active Block,Drop Punch,DEF,DEF,P1,0,2,0,
Active Block,Elbow Block,DEF,DEF,P1,0,0,0,
Active Block,Evading Dance,DEF,DEF,P1,0,0,0,
Active Block,Final Strike,DEF,OFF,P2,0,14,0,
Active Block,Flying Kick,DEF,OFF,P2,0,0,0,
Active Block,Go with the Flow,DEF,OFF,P2,0,0,0,
Active Block,Grab,DEF,OFF,P2,0,0,0,
Active Block,Hand Catch,DEF,DEF,P1,0,0,0,
Active Block,Haymaker,DEF,OFF,P2,0,1,0,
Active Block,Headbutt,DEF,OFF,P2,0,0,0,
